Product,Price EUR,Quantity,Location
Venison,11.19,6691,France
Chocolate,17.44,537,France
Lemons,13.72,3966,UK
Cheese,6.78,2532,France
Pepper,2.44,5441,Norway
Star,12.32,2088,France
Puff Pastry,6.25,4438,France
Mints,8.51,4947,France
Sprouts,29.57,4382,France
Chocco,10.35,5073,Norway
Sprouts,24.59,6265,Norway
Heavy,5.76,3822,Norway
White Chocco,1.34,4851,France
Lettuce,19.94,374,Spain
Myers,0.43,7464,France
Rootbeer,22.33,7161,UK
Urban,13.45,1785,France
Iced Tea,26.07,43,France
Bread,1.3,2684,France
Petit Baguet,25.05,1965,UK
Wine,2.32,2477,Spain
Watter,22.44,8860,UK
